Designator,Mid X,Mid Y,Rotation,Layer
C401,166.045,-58.2,0.0,top
C402,149.325,-57.34,0.0,top
C403_2,191.2,-79.6,0.0,top
C403,166.045,-61.55,0.0,top
C404,180.295,-66.68,0.0,top
C405,180.295,-69.19,0.0,top
D101,155.383,-78.44,0.0,top
D102,155.383,-81.9083,0.0,top
D301,169.3,-71.74,0.0,top
D401,190.6,-65.3,0.0,top
Q301,147.1625,-77.89,0.0,top
Q302,147.1625,-82.34,0.0,top
R401,149.875,-68.94,180.0,top
R402,156.3,-62.6,0.0,top
R403,170.875,-62.23,0.0,top
R404,170.875,-64.74,0.0,top
R405,182.7875,-57.54,0.0,top
R406,176.675,-54.34,0.0,top
R407,166.075,-55.14,0.0,top
R408,180.295,-71.7,0.0,top
R409,180.295,-74.21,0.0,top
R410,180.295,-76.72,0.0,top
R411,180.295,-79.23,0.0,top
R412,185.5875,-84.5,0.0,top
U101,131.15,-71.935,0.0,top
U201,162.9569,-78.54,0.0,top
U301,156.063,-70.1083,0.0,top
U401,185.445,-73.12,0.0,top
U402,171.445,-58.75,0.0,top
