Designator,Footprint,Quantity,Value,LCSC Part #
BZ501,Buzzer_D9mm_P5mm,1,Buzzer,
"C201, C202",0603,2,10uF,C19702
"C203, C303, C304, C306, C601, C602, C701, C702",0402,8,1uF/25V(10%),C52923
"C204, C205, C301, C310, C311, C403, C404, C706, C801, C802",0603,10,100nF/50V(10%),C14663
"C302, C305, C307, C705, C708, C804",0603,6,10uF/25V(20%),C96446
"C308, C309",0402,2,20pF/50V(5%),C182483
"C312, C313",1206,2,4.7nF/2kV(10%),C41017
C401,0603,1,100nF/50V(10%),DNP
C402,0402,1,10nF/50V(10%),C15195
C405,0603,1,2.2nF/50V(10%),C1604
C703,0603,1,10nF/50V(10%),C57112
"C704, C707, C709, C803, C805",1206,5,22uF/16V(20%),C87162
"D201, D202",SOT-23,2,BAT54A,C283256
"D501, D502, D503, D504, D505, D506, D507, D508, D509, D510, D511, D512",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,12,WS2812B,C527089
D513,D_SOD-123,1,B5819W,C8598
"D601, D602",0603,2,LED_TX,C3028830
D603,SOT-143,1,SP0503BAHT,C2682275
D701,0603,1,LED_12V,C284922
D702,D_SMA,1,B230A-13-F,C12889
D703,D_SMB,1,SMBJ20A,C3001979
D704,0603,1,LED_5V,C87326
D801,0603,1,LED_3V3,C497937
"FB401, FB601",0603,2,YI160808Z101-3R0T,C3011210
J101,PinHeader_1x06_P1.27mm_Vertical,1,I2C conn,
J102,PinHeader_1x10_P1.27mm_Vertical,1,Radar pins,
J103,Molex_39501-1003,1,CAN,
J104,Molex_347920040,1,100BASE-T1,
J105,AFC30-S10FCC-00,1,Radar debug,C395235
J301,RJ45_Taoglas_TMJD0012BENL,1,TMJD0012BENL,
J401,PinHeader_2x05_P1.27mm_Vertical_SMD,1,ANT_SWD,DNP
J601,TYPE-C-SMD_YIYUAN_YTC-TC16-273A1,1,USB_C_Receptacle_USB2.0,C5260486
J701,Molex_39521-1002,1,20-16V Supply Voltage,
L701,L_Changjiang_FNR4018S,1,15uH/1A,C167809
"L702, L801",L_Sunlord_SWPA4020S,2,4.7uH/2.85A,C98363
"Q501, Q601, Q602",SOT-23,3,L8050QLT1G,C49581
Q701,SOT-23,1,SI2309CDS,C3021112
"R101, R102, R301, R505, R708, R712, R801, R806",0805,8,0R,C17477
R103,0603,1,120,DNP
R201,0603,1,20K(5%),C4184
"R202, R203, R204, R307, R503, R701, R805",0603,7,10K(1%),C25804
"R205, R206",0603,2,4.7K,C23162
"R207, R402",0603,2,10K(1%),DNP
"R208, R601",0603,2,1K(1%),C21190
"R302, R303, R304, R305, R306, R309, R315, R608, R609",0603,9,5.1K(1%),C23186
R308,0603,1,6.19K(1%),C403300
"R310, R314",0603,2,0R,C21189
R311,0603,1,270R,C22966
R312,0603,1,1M(1%),DNP
R313,0603,1,220R,C22962
"R401, R403",0805,2,0R,DNP
R501,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR,
R502,0603,1,20K(1%),C4184
R504,0603,1,820R,C23253
"R602, R604",0603,2,100K(1%),C25803
R603,0603,1,22.1K(1%),C25961
R605,0603,1,47.5K(1%),C23061
"R606, R607",0603,2,100R,C22775
"R702, R703, R704, R705",0603,4,10R(1%),C22859
R706,1210,1,0.16R(5%),C175910
R707,1210,1,0.3R(5%),C175910
R709,0603,1,51K(1%),C23196
"R710, R713",0603,2,2K,C22764
R711,0603,1,3.6K(1%),C22980
R802,0603,1,1.1K(1%),C22764
R803,0805,1,NC,DNP
R804,0603,1,47k(1%),C25819
R807,0603,1,200R,C8218
SW201,SW_SPST_TS-1088R,1,RESET,C455280
SW202,SW_SPST_TS-1088R,1,BOOT MODE,C455280
TP303,TestPoint_Pad_D1.0mm,1,RXER,DNP
U101,ALPS_USRR5_woPins,1,~,
U201,ESP32-WROVER-E_ThermalVias,1,ESP32-WROVER-E-N16R8,C529589
U301,QFN_IP101GRI_WIZ,1,IP101GRI,C703537
U401,Garmin_M8-35_9.8x14.0mm_Layout6x6_P1.5mm,1,D52MxxM8,DNP
U402,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U601,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,C964632
U701,Texas_RGV_S-PVQFN-N16_EP2.1x2.1mm,1,INA3221,C181255
U702,TSOT-23-6,1,RT8259,C425775
U703,TSOT-23-6,1,AP63205WU,C2071056
U801,TPS2121,1,TPS2121RUXR,C485916
U802,TSOT-23-6,1,AP63203WU,C780769
Y301,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C3003239
